instrument,venue,open,high,low,close,volume,open_time,close_time
XAUUSD,MT5,2000.00,2022.43,1977.57,2000.00,1298,2020-01-01T00:00:00+00:00,2020-01-01T01:00:00+00:00
XAUUSD,MT5,2000.00,2022.42,1986.51,2008.94,1246,2020-01-01T01:00:00+00:00,2020-01-01T02:00:00+00:00
XAUUSD,MT5,2008.94,2019.61,1966.95,1977.62,1602,2020-01-01T02:00:00+00:00,2020-01-01T03:00:00+00:00
XAUUSD,MT5,1977.62,2044.24,1933.16,1999.78,943,2020-01-01T03:00:00+00:00,2020-01-01T04:00:00+00:00
XAUUSD,MT5,1999.78,2036.23,1991.51,2027.97,891,2020-01-01T04:00:00+00:00,2020-01-01T05:00:00+00:00
XAUUSD,MT5,2027.97,2034.39,1962.83,1969.26,1994,2020-01-01T05:00:00+00:00,2020-01-01T06:00:00+00:00
XAUUSD,MT5,1969.26,1977.36,1922.84,1930.95,1724,2020-01-01T06:00:00+00:00,2020-01-01T07:00:00+00:00
XAUUSD,MT5,1930.95,1957.08,1908.30,1934.44,1625,2020-01-01T07:00:00+00:00,2020-01-01T08:00:00+00:00
XAUUSD,MT5,1934.44,1938.73,1920.77,1925.06,1910,2020-01-01T08:00:00+00:00,2020-01-01T09:00:00+00:00
XAUUSD,MT5,1925.06,1926.31,1923.12,1924.36,1569,2020-01-01T09:00:00+00:00,2020-01-01T10:00:00+00:00
XAUUSD,MT5,1924.36,1935.63,1888.41,1899.68,1707,2020-01-01T10:00:00+00:00,2020-01-01T11:00:00+00:00
XAUUSD,MT5,1899.68,1934.34,1890.03,1924.69,1430,2020-01-01T11:00:00+00:00,2020-01-01T12:00:00+00:00
XAUUSD,MT5,1924.69,1957.11,1914.64,1947.06,1301,2020-01-01T12:00:00+00:00,2020-01-01T13:00:00+00:00
XAUUSD,MT5,1947.06,1972.58,1923.25,1948.77,1803,2020-01-01T13:00:00+00:00,2020-01-01T14:00:00+00:00
XAUUSD,MT5,1948.77,1996.20,1934.35,1981.78,1040,2020-01-01T14:00:00+00:00,2020-01-01T15:00:00+00:00
XAUUSD,MT5,1981.78,2015.49,1961.78,1995.50,1806,2020-01-01T15:00:00+00:00,2020-01-01T16:00:00+00:00
XAUUSD,MT5,1995.50,1998.32,1966.89,1969.72,1403,2020-01-01T16:00:00+00:00,2020-01-01T17:00:00+00:00
XAUUSD,MT5,1969.72,1987.00,1963.15,1980.42,1337,2020-01-01T17:00:00+00:00,2020-01-01T18:00:00+00:00
